,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
1,"$Greed","5","3","5.31425","Greed","2","6","30","30","30","1987","standalone",,,,,,,,,,,,,
2,'"+6 Bag O'' Munchkin Babes "',"2","","6.57695",'"+6 Bag O'' Munchkin Babes "',"3","6","90","90","90","2009","expansion",,,,,,,,,,,,,
3,'"+6 Bag o'' Munchkin Level Counters"',"2","","5.89578",'"+6 Bag o'' Munchkin Level Counters"',"3","6","90","90","90","2011","expansion",,,,,,,,,,,,,
4,'"+6 Bag O'' Munchkins"',"2","","5.5129","thing",'"+6 Bag O'' Munchkins"',"3","6","90","90","90","",,,,,,,,,,,,,
5,"1,"31795","3","0","thing","1, 2 oder 3","2","6","60","60","",,,,,,,,,,,,,
6,"Die 1. Million","5","4","6.29463","Monad","2","4","60","60","45","1987","standalone",,,,,,,,,,,,,
7,"10 Jahre alea: Schatzkiste","8","","7.25852","Treasure Chest","2","6","75","75","75","2009","expansion",,,,,,,,,,,,,
8,"1000 Kilometer","3","68","5.68941","Mille Bornes","2","6","45","45","45","0","standalone",,,,,,,,,,,,,
9,"1000 Meilen","3","68","5.68941","Mille Bornes","2","6","45","45","45","2001","standalone",,,,,,,,,,,,,
10,"11 nimmt!","6","1","6.28552","11 nimmt!","2","7","30","30","30","2010","standalone",,,,,,,,,,,,,
11,"12 Days","6","","6.54275","12 Days","3","5","15","15","15","2012","standalone",,,,,,,,,,,,,
12,"13 Days: The Cuban Missile Crisis","7","1","","2.3333","544","5248","thing","13 Days: The Cuban Missile Crisis","2","2","",,,,,,,,,,,,,
13,"13 Minutes: The Cuban Missile Crisis","6","","6.51813","13 Minutes: The Cuban Missile Crisis","2","2","13","13","13","2017","standalone",,,,,,,,,,,,,
14,"15 Dias: The Spanish Golden Age","6","","6.5933","15 Dias: The Spanish Golden Age","2","8","60","60","60","2014","standalone",,,,,,,,,,,,,
15,"1500 Gold","6","","5.49318","1500 Gold","2","6","45","45","45","1995","standalone",,,,,,,,,,,,,
16,"1655: Habemus Papam","6","","6.46065","1655: Habemus Papam","3","4","30","30","30","2011","standalone",,,,,,,,,,,,,
17,"1761: From Canal to Rail","7","2","","7.42241","5","0","53","thing","1761: From Canal to Rail","3","",,,,,,,,,,,,,
18,"1776","7","1","6.47298","1776","2","2","120","120","120","1974","standalone",,,,,,,,,,,,,
19,"1800","7","1","6.39217","1800","2","3","90","90","90","2002","standalone",,,,,,,,,,,,,
20,'"1809: Napoleon''s Danube Campaign"',"7","1","6.49679",'"1809: Napoleon''s Danube Campaign"',"2","2","240","240","240","1984","standalone",,,,,,,,,,,,,
21,"1817","8","","8.7086","1817","3","7","540","540","360","2012","standalone",,,,,,,,,,,,,
22,"1822: The Railways of Great Britain","10","4","","8.41943","4.3333","2497","257","thing","1822: The Railways of Great Britain","3","",,,,,,,,,,,,,
23,"1822CA","8","2","8.58654","1822CA","3","7","540","540","360","2018","standalone",,,,,,,,,,,,,
24,"1824: Austria-Hungary","10","15","7.78832","1824: Austria-Hungary","3","6","300","300","300","2010","standalone",,,,,,,,,,,,,
25,"1825 Development Kit D1: Additional Tiles","5","","7.26923","1825 Development Kit D1: Additional Tiles","2","5","180","180","180","2010","expansion",,,,,,,,,,,,,
